x y
998.935 1140.35
999.119 1140.43
999.304 1140.5
999.488 1140.58
999.672 1140.66
999.857 1140.74
1000.04 1140.81
1000.23 1140.89
1000.41 1140.97
1000.59 1141.05
1000.78 1141.12
1000.96 1141.2
1001.15 1141.28
1001.33 1141.36
1001.52 1141.43
1001.7 1141.51
1001.89 1141.59
1002.07 1141.67
1002.25 1141.74
1002.44 1141.82
1002.62 1141.9
1002.81 1141.98
1002.99 1142.05
1003.18 1142.13
1003.36 1142.21
1003.55 1142.28
1003.73 1142.36
1003.91 1142.44
1004.1 1142.52
1004.28 1142.59
1004.47 1142.67
1004.65 1142.75
1004.84 1142.83
1005.02 1142.9
1005.21 1142.98
1005.39 1143.06
1005.57 1143.14
1005.76 1143.21
1005.94 1143.29
1006.13 1143.37
1006.31 1143.45
1006.5 1143.52
1006.68 1143.6
1006.87 1143.68
1007.05 1143.76
1007.23 1143.83
1007.42 1143.91
1007.6 1143.99
1007.79 1144.07
1007.97 1144.14
1008.16 1144.22
1008.34 1144.3
1008.52 1144.37
1008.71 1144.45
1008.89 1144.53
1009.08 1144.61
1009.26 1144.68
1009.45 1144.76
1009.63 1144.84
1009.82 1144.92
1010 1144.99
1010.18 1145.07
1010.37 1145.15
1010.55 1145.23
1010.74 1145.3
1010.92 1145.38
1011.11 1145.46
1011.29 1145.54
1011.48 1145.61
1011.66 1145.69
1011.84 1145.77
1012.03 1145.85
1012.21 1145.92
1012.4 1146
1012.58 1146.08
1012.77 1146.16
1012.95 1146.23
1013.14 1146.31
1013.32 1146.39
1013.5 1146.47
1013.69 1146.54
1013.87 1146.62
1014.06 1146.7
1014.24 1146.77
1014.43 1146.85
1014.61 1146.93
1014.79 1147.01
1014.98 1147.08
1015.16 1147.16
1015.35 1147.24
1015.53 1147.32
1015.72 1147.39
1015.9 1147.47
1016.09 1147.55
1016.27 1147.63
1016.45 1147.7
1016.64 1147.78
1016.82 1147.86
1017.01 1147.94
1017.19 1148.01
1017.38 1148.09
1017.56 1148.17
1017.75 1148.25
1017.93 1148.32
1018.11 1148.4
1018.3 1148.48
1018.48 1148.56
1018.67 1148.63
1018.85 1148.71
1019.04 1148.79
1019.22 1148.86
1019.4 1148.94
1019.59 1149.02
1019.77 1149.1
1019.96 1149.17
1020.14 1149.25
1020.33 1149.33
1020.51 1149.41
1020.7 1149.48
1020.88 1149.56
1021.06 1149.64
1021.25 1149.72
1021.43 1149.79
1021.62 1149.87
1021.8 1149.95
1021.99 1150.03
1022.17 1150.1
1022.35 1150.18
1022.54 1150.26
1022.72 1150.34
1022.91 1150.41
1023.09 1150.49
1023.28 1150.57
1023.46 1150.65
1023.65 1150.72
1023.83 1150.8
1024.01 1150.88
1024.2 1150.95
1024.38 1151.03
1024.57 1151.11
1024.75 1151.19
1024.94 1151.26
1025.12 1151.34
1025.31 1151.42
1025.49 1151.5
1025.67 1151.57
1025.86 1151.65
1026.04 1151.73
1026.23 1151.81
1026.41 1151.88
1026.6 1151.96
1026.78 1152.04
1026.97 1152.12
1027.15 1152.19
1027.33 1152.27
1027.46 1152.32
1027.65 1152.4
1027.83 1152.48
1028.02 1152.55
1028.2 1152.63
1028.39 1152.7
1028.58 1152.78
1028.76 1152.85
1028.95 1152.93
1029.13 1153
1029.31 1153.08
1029.5 1153.16
1029.69 1153.23
1029.87 1153.31
1030.06 1153.38
1030.24 1153.46
1030.43 1153.53
1030.61 1153.61
1030.8 1153.68
1030.98 1153.76
1031.17 1153.84
1031.35 1153.91
1031.54 1153.99
1031.72 1154.06
1031.91 1154.14
1032.09 1154.21
1032.28 1154.29
1032.46 1154.36
1032.65 1154.44
1032.83 1154.52
1033.02 1154.59
1033.2 1154.67
1033.39 1154.74
1033.57 1154.82
1033.76 1154.89
1033.94 1154.97
1034.13 1155.05
1034.31 1155.12
1034.5 1155.2
1034.68 1155.27
1034.87 1155.35
1035.05 1155.42
1035.24 1155.5
1035.43 1155.57
1035.61 1155.65
1035.8 1155.73
1035.98 1155.8
1036.17 1155.88
1036.35 1155.95
1036.54 1156.03
1036.72 1156.1
1036.91 1156.18
1037.09 1156.25
1037.28 1156.33
1037.46 1156.41
1037.65 1156.48
1037.83 1156.56
1038.02 1156.63
1038.2 1156.71
1038.39 1156.78
1038.57 1156.86
1038.76 1156.93
1038.94 1157.01
1039.13 1157.09
1039.31 1157.16
1039.5 1157.24
1039.68 1157.31
1039.87 1157.39
1040.05 1157.46
1040.24 1157.54
1040.42 1157.62
1040.61 1157.69
1040.79 1157.77
1040.98 1157.84
1041.16 1157.92
1041.35 1157.99
1041.54 1158.07
1041.72 1158.14
1041.91 1158.22
1042.09 1158.3
1042.28 1158.37
1042.46 1158.45
1042.65 1158.52
1042.83 1158.6
1043.02 1158.67
1043.2 1158.75
1043.39 1158.82
1043.57 1158.9
1043.76 1158.98
1043.94 1159.05
1044.13 1159.13
1044.31 1159.2
1044.5 1159.28
1044.68 1159.35
1044.87 1159.43
1045.05 1159.51
1045.24 1159.58
1045.42 1159.66
1045.61 1159.73
1045.79 1159.81
1045.98 1159.88
1046.16 1159.96
1046.35 1160.03
1046.53 1160.11
1046.72 1160.19
1046.9 1160.26
1047.09 1160.34
1047.28 1160.41
1047.46 1160.49
1047.65 1160.56
1047.83 1160.64
1048.02 1160.71
1048.2 1160.79
1048.39 1160.87
1048.57 1160.94
1048.76 1161.02
1048.94 1161.09
1049.13 1161.17
1049.31 1161.24
1049.5 1161.32
1049.68 1161.39
1049.87 1161.47
1050.05 1161.55
1050.24 1161.62
1050.42 1161.7
1050.61 1161.77
1050.79 1161.85
1050.98 1161.92
1051.16 1162
1051.35 1162.08
1051.53 1162.15
1051.72 1162.23
1051.9 1162.3
1052.09 1162.38
1052.27 1162.45
1052.46 1162.53
1052.64 1162.6
1052.83 1162.68
1053.01 1162.76
1053.2 1162.83
1053.39 1162.91
1053.57 1162.98
1053.76 1163.06
1053.94 1163.13
1054.13 1163.21
1054.31 1163.28
1054.5 1163.36
1054.68 1163.44
1054.87 1163.51
1055.05 1163.59
1055.24 1163.66
1055.42 1163.74
1055.61 1163.81
1055.79 1163.89
1055.98 1163.97
1056.16 1164.04
1056.35 1164.12
1056.53 1164.19
1056.72 1164.27
1057.09 1164.42
1057.28 1164.5
1057.46 1164.58
1057.64 1164.65
1057.83 1164.73
1058.01 1164.81
1058.2 1164.89
1058.38 1164.96
1058.57 1165.04
1058.75 1165.12
1058.94 1165.19
1059.12 1165.27
1059.31 1165.35
1059.49 1165.43
1059.67 1165.5
1059.86 1165.58
1060.04 1165.66
1060.23 1165.73
1060.41 1165.81
1060.6 1165.89
1060.78 1165.97
1060.97 1166.04
1061.15 1166.12
1061.33 1166.2
1061.52 1166.27
1061.7 1166.35
1061.89 1166.43
1062.07 1166.51
1062.26 1166.58
1062.44 1166.66
1062.63 1166.74
1062.81 1166.81
1063 1166.89
1063.18 1166.97
1063.36 1167.05
1063.55 1167.12
1063.73 1167.2
1063.92 1167.28
1064.1 1167.35
1064.29 1167.43
1064.47 1167.51
1064.66 1167.59
1064.84 1167.66
1065.03 1167.74
1065.21 1167.82
1065.39 1167.89
1065.58 1167.97
1065.76 1168.05
